CN,PLT_CN,CONDID,HABTYPCD,FPAG
22403899010497,22398397010497,1,CDS638,CDS6
22403900010497,22398397010497,2,CDS675,CDS6
22403901010497,22398189010497,1,CPS241,CPS2
22404013010497,22398200010497,1,CES426,CES4
22403937010497,22398194010497,1,CHS142,CHS1
22404014010497,22398200010497,2,CES426,CES4
22403995010497,22398198010497,1,CES113,CES1
24124886010900,24124884010900,1,CMS354,CMS3
22403959010497,22398195010497,1,CDG134,CDG1
22403877010497,22398185010497,1,CDS655,CDS6
22403873010497,22398184010497,1,CDG131,CDG1
22403991010497,22398196010497,1,CDS639,CDS6
22403881010497,22398186010497,1,CMS259,CMS2
22403994010497,22398197010497,1,CES342,CES3
22403902010497,22398190010497,1,CES426,CES4
22403903010497,22398190010497,2,CES426,CES4
24123987010900,24123985010900,1,CDS832,CDS8
24123073010900,24123071010900,1,CPS312,CPS3
24125436010900,24125434010900,1,CAS311,CAS3
22404011010497,22398199010497,1,CW,CW
24125748010900,24125746010900,1,CPS241,CPS2
24156403010900,24156401010900,1,CA,CA
22404464010497,22398249010497,1,CFS621,CFS6
22404465010497,22398249010497,2,CHS142,CHS1
22404461010497,22398248010497,1,CEF424,CEF4
24155747010900,24155744010900,1,CDS655,CDS6
22404451010497,22398245010497,1,CFF254,CFF2
22404405010497,22398240010497,1,CMS356,CMS3
24154417010900,24154415010900,1,CWS336,CWS3
24153557010900,24153555010900,1,CES424,CES4
24154068010900,24154066010900,1,CDS812,CDS8
22404441010497,22398244010497,1,CEG121,CEG1
22404404010497,22398469010497,1,CWS524,CWS5
22404458010497,22398247010497,1,CES211,CES2
22404459010497,22398247010497,2,CES211,CES2
24154671010900,24154669010900,1,CHS142,CHS1
22404485010497,22398251010497,1,CWS335,CWS3
22404421010497,22398242010497,1,CWS226,CWS2
24153839010900,24153837010900,1,CDG132,CDG1
22404430010497,22398243010497,1,CES424,CES4
24155369010900,24155367010900,1,CDG132,CDG1
24155167010900,24155165010900,1,CWS551,CWS5
22404471010497,22398479010497,1,CHS142,CHS1
22404475010497,22398250010497,1,CE,CE
22404454010497,22398246010497,1,CFS556,CFS5
22404455010497,22398246010497,2,CFS556,CFS5
22404453010497,22398477010497,1,CWS226,CWS2
24154982010900,24154980010900,1,CPS524,CPS5
24154620010900,24154615010900,2,CDS632,CDS6
24156121010900,24156119010900,1,CMS354,CMS3
24158156010900,24158154010900,1,CPS312,CPS3
24157485010900,24157483010900,1,CDS231,CDS2
24156641010900,24156639010900,1,CDS211,CDS2
24157335010900,24157333010900,1,CPS221,CPS2
24156839010900,24156837010900,1,HOG211,HOG2
24156841010900,24156837010900,2,HOG211,HOG2
24157973010900,24157971010900,1,CPS0,CPS0
24158342010900,24158339010900,1,CPS524,CPS5
24157668010900,24157666010900,1,CPG222,CPG2
24157823010900,24157821010900,1,CDS212,CDS2
24170349010900,24170347010900,1,CD6131,CD61
24167616010900,24167614010900,1,CPG231,CPG2
24165850010900,24165848010900,1,CDS674,CDS6
24167159010900,24167156010900,1,CEM211,CEM2
24167161010900,24167156010900,2,CEM211,CEM2
24166670010900,24166668010900,1,CDG134,CDG1
24166828010900,24166826010900,1,CPG0,CPG0
24173986010900,24173984010900,1,CES413,CES4
48394601020004,24168297010900,2,CAS421,CAS4
24168904010900,24168902010900,1,CDG131,CDG1
24174612010900,24174610010900,1,CES425,CES4
22404674010497,22398274010497,1,CDS639,CDS6
22404675010497,22398274010497,2,CDS639,CDS6
22404752010497,22398520010497,1,CFS413,CFS4
22404636010497,22398268010497,1,CDS633,CDS6
24172103010900,24172101010900,1,CES425,CES4
22404731010497,22398284010497,1,CES426,CES4
48394598020004,22398286010497,1,CDS655,CDS6
48394600020004,22398286010497,2,CDS411,CDS4
48394602020004,22398286010497,3,CDG131,CDG1
24169471010900,24169469010900,1,CES341,CES3
22404777010497,22398294010497,1,CES112,CES1
22404778010497,22398294010497,2,CEG311,CEG3
24167454010900,24167452010900,1,CDG311,CDG3
22404681010497,22398275010497,1,CDS632,CDS6
24170893010900,24170891010900,1,CES425,CES4
22404800010497,22398296010497,1,CDS715,CDS7
22404720010497,22398281010497,1,CDS645,CDS6
22404721010497,22398281010497,2,CDS674,CDS6
22404742010497,22398289010497,1,CDG311,CDG3
22404791010497,22398295010497,1,CPS241,CPS2
22404792010497,22398295010497,2,CDS638,CDS6
24166385010900,24166383010900,1,CDG311,CDG3
22404658010497,22398271010497,1,CDS632,CDS6
22404659010497,22398271010497,2,CDS632,CDS6
24168058010900,24168055010900,1,CEF211,CEF2
22404647010497,22398269010497,1,CES426,CES4
22404693010497,22398276010497,1,CEF424,CEF4
22404694010497,22398276010497,2,CES342,CES3
24171379010900,24171377010900,1,CES425,CES4
24173729010900,24173727010900,1,CDG131,CDG1
22404846010497,22398299010497,1,CDS639,CDS6
22404750010497,22398519010497,1,CDS636,CDS6
22404751010497,22398519010497,2,CDS636,CDS6
22404825010497,22398298010497,1,CDS,CDS
24168544010900,24168542010900,1,CDS411,CDS4
48394597020004,22398506010497,1,CES342,CES3
22404824010497,22398533010497,1,CEG121,CEG1
22404818010497,22398297010497,1,CEM211,CEM2
22404748010497,22398291010497,1,CDS640,CDS6
24170598010900,24170596010900,1,CEF222,CEF2
22404669010497,22398509010497,1,CAC111,CAC1
24166099010900,24166097010900,1,CDS653,CDS6
24174390010900,24174388010900,1,CES211,CES2
22404740010497,22398288010497,1,CDG131,CDG1
22404711010497,22398278010497,1,CES112,CES1
22404663010497,22398272010497,1,CDS412,CDS4
22404728010497,22398282010497,1,CDS639,CDS6
24173109010900,24173107010900,1,CFS553,CFS5
24173111010900,24173107010900,2,CFS553,CFS5
24170053010900,24170051010900,1,CDS633,CDS6
24172417010900,24172415010900,1,CES424,CES4
24168313010900,24168311010900,1,CDG123,CDG1
22404650010497,22398270010497,1,CDS638,CDS6
22404753010497,22398292010497,1,CEG311,CEG3
22404671010497,22398273010497,1,CAS311,CAS3
22404851010497,22398302010497,1,CDS639,CDS6
22404852010497,22398302010497,2,CDS639,CDS6
24166535010900,24166533010900,1,CDS675,CDS6
24171697010900,24171695010900,1,CDS638,CDS6
24169829010900,24169827010900,1,CAS311,CAS3
22404850010497,22398301010497,1,CDG131,CDG1
24172811010900,24172809010900,1,CES211,CES2
24167709010900,24167707010900,1,CPG121,CPG1
22404738010497,22398287010497,1,CDG131,CDG1
22404847010497,22398300010497,1,CDS655,CDS6
22404756010497,22398293010497,1,CDS813,CDS8
24167873010900,24167871010900,1,CDS411,CDS4
22405473010497,22398376010497,1,CWS332,CWS3
24208652010900,24208648010900,2,CES143,CES1
24208650010900,24208648010900,1,CES143,CES1
24206807010900,24206805010900,1,CPS311,CPS3
24207924010900,24207922010900,1,CPF0,CPF0
24211247010900,24211245010900,1,CDG322,CDG3
24210737010900,24210735010900,1,CEF424,CEF4
